CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,WORKSITE_STATE,SWA_NAME,AGENT_ATTORNEY_CITY,WORKSITE_CITY,AGENT_ATTORNEY_STATE,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
1,1,37,72,19,1,peakload,35.0,12.85,0.0,none,0.0,0.0,wyoming,0,lovingston,jackson,virginia,different,different,7.5,1.0,1
1,1,39,71,7,1,seasonal,40.0,13.68,0.0,none,0.0,1.0,maryland,0,norman,laurel,oklahoma,different,different,12.0,1.0,1
1,1,37,56,65,1,seasonal,35.0,14.12,0.0,none,0.0,0.0,florida,0,lovingston,parkland,virginia,different,different,7.5,1.0,1
1,1,37,56,30,1,seasonal,35.0,14.86,0.0,none,0.0,0.0,colorado,0,coeur d' alene,norwood,idaho,different,different,10.5,1.0,1
0,1,51,72,1,1,peakload,40.0,12.44,0.0,none,0.0,12.0,texas,0,dallas,dallas,texas,same,same,10.0,0.0,1
0,1,47,23,10,1,seasonal,40.0,15.81,0.0,none,0.0,0.0,alabama,0,buda,birmingham,texas,different,different,8.0,1.0,0
0,1,47,56,15,1,one-time occurrence,40.0,21.77,0.0,none,0.0,0.0,michigan,0,durham,detroit,north carolina,different,different,9.0,1.0,1
0,0,37,54,1,1,one-time occurrence,35.0,10.82,0.0,high school/ged ,0.0,12.0,arizona,0,no attorney representation,tombstone,no attorney representation,no_rep,no_rep,7.0,1.0,0
0,1,45,11,24,1,seasonal,40.0,15.06,0.0,none,0.0,0.0,arkansas,0,douglas,russelville,georgia,different,different,8.0,1.0,0
0,1,51,56,30,1,peakload,40.0,12.49,0.0,none,0.0,0.0,georgia,0,douglas,alma,georgia,different,same,9.0,1.0,0
1,1,35,71,4,1,peakload,35.0,15.55,0.0,none,0.0,12.0,wyoming,0,framingham,teton village,massachusetts,different,different,7.0,0.0,1
0,0,47,23,67,1,peakload,40.0,17.65,0.0,none,0.0,0.0,louisiana,0,no attorney representation,vinton,no attorney representation,no_rep,no_rep,10.0,1.0,1
1,0,37,56,38,1,seasonal,35.0,11.02,0.0,none,0.0,1.0,florida,0,no attorney representation,santa rosa beach,no attorney representation,no_rep,no_rep,7.0,1.0,1
1,1,37,72,12,1,peakload,35.0,12.85,0.0,none,0.0,3.0,wyoming,0,lovingston,jackson,virginia,different,different,7.5,1.0,1
0,1,27,71,1,1,seasonal,40.0,30.0,0.0,none,0.0,48.0,utah,0,salt lake city,park city,utah,different,same,9.0,1.0,1
0,1,37,56,60,1,seasonal,40.0,15.0,0.0,none,0.0,24.0,michigan,0,lackawanna,lansing,new york,different,different,9.0,1.0,0
