CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
1,1,37,56,24,1,seasonal,40.0,14.73,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,31,1,seasonal,40.0,13.7,0.0,none,0.0,0.0,0,different,different,10.5,1.0,1
1,1,37,56,8,1,seasonal,40.0,15.96,0.0,none,0.0,0.0,0,different,different,11.0,1.0,1
1,1,43,72,3,1,peakload,35.0,10.78,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,41,44,8,1,seasonal,40.0,14.3,0.0,high school/ged ,0.0,6.0,0,different,different,17.0,0.0,1
1,1,35,71,8,1,peakload,40.0,15.39,0.0,none,0.0,3.0,0,different,different,17.0,0.0,1
1,1,43,72,7,1,peakload,35.0,11.99,0.0,none,0.0,3.0,0,different,different,7.0,1.0,1
1,1,37,56,5,1,seasonal,40.0,16.81,0.0,none,0.0,2.0,0,different,same,10.0,1.0,1
1,1,35,72,7,1,peakload,40.0,9.65,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,37,72,25,1,peakload,35.0,13.0,0.0,none,0.0,6.0,0,different,same,8.0,1.0,1
1,1,37,56,8,1,seasonal,40.0,13.91,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1
1,1,39,71,12,1,seasonal,40.0,362.8,0.0,none,0.0,0.0,0,different,different,9.0,0.0,0
1,1,37,56,8,1,peakload,40.0,16.81,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,20,1,seasonal,40.0,12.2,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,6,1,seasonal,40.0,14.73,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,50,1,peakload,40.0,12.57,0.0,none,0.0,3.0,0,different,different,9.0,1.0,1
1,1,39,71,5,1,seasonal,40.0,10.21,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1
1,1,37,81,2,1,peakload,35.0,14.73,0.0,none,0.0,3.0,0,different,same,8.5,1.0,1
1,1,39,71,15,1,seasonal,40.0,11.56,0.0,none,0.0,1.0,0,different,different,8.0,1.0,1
1,1,37,56,6,1,seasonal,40.0,13.41,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
